id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
689172,2,0.5264239765062207,0.5799485222254752,10.0,107228,4246.56,14.0,6.0,17.0,2.0,10.0,107228,84411,40099,23308,108858,1619.9,1305.6,1293.6,735.35,4246.56,73,(zmc1****),구르,예뻐요,그림체,전이,닮았고,미나리도,story,식욕 로맨스
689516,2,0.6846878799131063,0.4710924505202919,7.0,53513,4985.2,21.0,7.0,12.0,6.0,7.0,53513,34426,25595,22923,20886,5183.82,3609.9,3349.5,3397.35,4985.2,63,(zhsk****),내용도,정주행,웹툰,사라지고,없음,밑에분,omnibus,충충의 하루
689561,2,0.7121986708900111,0.5471917462106329,32.0,148171,5330.71,38.0,22.0,17.0,14.0,32.0,148171,113493,99207,88562,73355,7092.0,5878.6,6030.57,5004.34,5330.71,158,(zxcc****),재밌어요,좋은,만화,전에,다른곳이랑,다르다뭔가,story,망상되감기
689851,2,0.6426949528732482,0.5340027137088847,10.0,109672,3586.4400000000005,19.0,10.0,4.0,14.0,10.0,109672,72579,66759,63688,60731,4517.299999999999,4435.2,3815.82,3914.42,3586.4400000000005,84,(yoon****),그림체,재밌어요,완전,뭔가,성은,tv에,story,협주곡
689881,2,0.5842021653111698,0.5735805401771944,48.0,418786,14518.52,51.0,22.0,14.0,21.0,48.0,418786,347367,328483,321934,312578,15377.46,13354.11,13028.4,12241.320000000002,14518.52,221,(zzok****),베도,그림체,언니,여주,목뼈,튀어나왔는데,story,GO!라니
690171,2,0.5786543283752081,0.4449139632872496,10.0,151753,3452.16,14.0,11.0,11.0,8.0,10.0,151753,110067,100548,91401,88766,4558.32,3857.28,3601.44,3382.38,3452.16,89,(zz04****),나빛세,그림체,내스타일,오타나셨어요,그를,찾는다면,story,적막소녀
690175,2,0.6369616384367055,0.4318656569004431,17.0,209374,6054.04,21.0,21.0,11.0,11.0,17.0,209374,148514,130311,120852,110612,7024.68,7514.1,5866.7,5760.38,6054.04,89,(youy****),스토리,좋네요,좋다,못생긴,헨리,모리스도,story,지울 수 있을까?
690345,2,0.6882629230894763,0.5095171383163313,42.0,346333,13522.14,43.0,56.0,70.0,34.0,42.0,346333,275006,261930,236278,220553,16905.0,14749.2,16628.54,13873.02,13522.14,538,(zzzz****),왜,그냥,그래도,왜,아니,그냥,episode,이과지옥
690346,2,0.6364512655964425,0.5534276335917756,17.0,162047,2894.84,27.0,17.0,9.0,16.0,17.0,162047,110348,90787,83649,80543,3759.36,3309.0199999999995,2957.28,2725.83,2894.84,103,(zzan****),재밌어요,꿀잼,재밌다,연제,되기,전에,story,언원티드
690378,2,0.6722438087917401,0.5196639691002759,24.0,110216,7335.54,66.0,42.0,28.0,24.0,24.0,110216,93861,68403,62388,58750,9780.96,8234.76,6301.400000000001,6376.56,7335.54,191,(zwl2****),모자장수,와,드디어,있는데,것은,또는,story,앨리스를 위하여
690541,2,0.6832031359627011,,23.0,29947,1742.4,16.0,14.0,12.0,12.0,23.0,29947,21226,18910,18138,16860,1922.72,1754.2,1584.36,1391.6699999999998,1742.4,103,(zxdd****),베도,제발,재밌어요,도끼의,머가기발해,코노ooo랑,story,갑자기판타지
690666,2,0.7345695701381132,0.5503971610506729,37.0,119388,7763.139999999999,71.0,48.0,51.0,27.0,37.0,119388,189036,139773,113788,99004,10684.68,11233.56,10048.24,7348.099999999999,7763.139999999999,318,(zxz1****),힘내세요,좋은,꼭,나폴레옹,글,보면서,omnibus,인생맛집
690673,2,0.4689995024914087,0.4346503371358684,11.0,152533,2840.04,15.0,9.0,12.0,8.0,11.0,152533,101516,91622,83561,79009,3773.15,3274.2000000000003,3033.4500000000003,2758.8,2840.04,148,(zike****),정주행,있습니다,두번째,맞춤법,오타가,작가가,story,천상대전
690682,2,0.6549427929267455,0.5889443489593897,9.0,398268,24284.7,78.0,62.0,52.0,65.0,9.0,398268,363474,339247,337547,341539,29353.5,29304.0,27452.7,33767.68,24284.7,359,(zpdl****),재밌어요,토끼,여주,뭔가,남자,거,story,마법약사
690788,2,0.7039021779302568,,105.0,513439,24526.95,54.0,47.0,58.0,44.0,105.0,513439,404609,369403,311477,294397,21014.76,20195.38,19740.24,16203.2,24526.95,400,(zzro****),그림체,왜,재밌어요,그냥,게임을,애들,episode,이것도 친구라고
690959,2,0.7121986708900111,0.5438656349263622,30.0,122943,14592.6,21.0,24.0,19.0,18.0,30.0,122943,95265,90156,84918,79144,9633.42,9593.9,8946.02,9259.86,14592.6,101,(zoe0****),좋아요,그림체,넘,이런말이,그럴지모르겠는데작가님,얼굴이,story,옥탑빵
691516,2,0.5868439984225703,0.4109310836614019,4.0,48330,2335.03,7.0,5.0,10.0,8.0,4.0,48330,45396,42185,38430,36283,2998.54,2814.24,2720.08,2478.6000000000004,2335.03,49,(zxcv****),귀엽네요,넘,귀여워,알고보니,3남매였음뜨헉,병설,episode,20&21세기남매
